review_order,candidate_id,evaluation_id,candidate_set_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_group,source_labels,source_title,source_uploader,license_url,selection_stratum,supplement_reason,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,normalization_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,stimulus_path,stimulus_sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_onnx_sha256,weights_sha256,application_binary_sha256,status
1,FE2S-001,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_9,16772,16772,siren,UrbanSound8K siren recording 16772,dobroide,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,16772-8-0-0.wav,31c90725c2690df03e3dcd4d618dcf45ab0382e25d151ea17643be351fabb6fe,44100,1.975238,-34.1266,0.0,1.975238,False,5,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-001.wav,42260f1dfebef4baaa212a06847786b9d18d9293275b69c97a5e503309f18fd5,11.87619,-35.2527,-48.341,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
2,FE2S-002,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,glass_breaking,glass_breaking,positive,FSD50K,eval,409297,409297,"Shatter,Chink_and_clink,Glass",Breaking glass,Sound_2425,http://creativecommons.org/licenses/by-nc/3.0/,supplement_explicit_shatter_metadata,strict_review_shortage_2,409297.wav,2cb7653ead4eafe72064d548f7200046277836491c99b24641b0c1fdc60a41ae,44100,3.725782,-19.1857,1.15,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-002.wav,55510638cb066f0bc6fc0bc114e806e36ff2dae4ea739f607d006cb1d1fa151d,10.25,-21.5382,-55.9294,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
3,FE2S-003,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_10,74364,74364,siren,UrbanSound8K siren recording 74364,inchadney,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,74364-8-1-0.wav,e76b10df7c53865e044627667e98afd5d5610fc67626eab28e793743a4679091,44100,4.0,-9.2452,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-003.wav,c7e4a8caa4b1055d46101646354235ab007bf2c150820473dc42a2384be5f7ba,13.0,-30.309,-49.539,-42.0003,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
4,FE2S-004,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,200460,200460,"Gunshot_and_gunfire,Explosion",22 multiple shots,Tito Lahaye,http://creativecommons.org/publicdomain/zero/1.0/,supplement_explicit_firearm_metadata,strict_review_shortage_1,200460.wav,ec22a77fd816dd9193de61d68f380260baff5aaee0f60373b6fb8ed8391ec1d4,44100,9.040726,-35.5859,5.3,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-004.wav,89b73593f2fd969160583cf1485e7718ec37e8c6b158ad5e9ece1b99a27c6824,10.25,-35.5811,-51.7351,-42.0073,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
5,FE2S-005,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_10,26173,26173,siren,UrbanSound8K siren recording 26173,WIM,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,26173-8-0-0.wav,4fdfabb764e403abfc141f174c8eae88f167ba7ef8458a39e62482df9b8ddf35,44100,2.37,-21.8169,0.0,2.37,False,4,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-005.wav,28334cac30ed13d1f0719fb7d71e4fe8f0a0c5e4f2d3139da2ddcccc279e0268,10.98,-32.9361,-45.8383,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
6,FE2S-006,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,glass_breaking,glass_breaking,positive,FSD50K,eval,231297,231297,"Shatter,Chink_and_clink,Glass",Glass Smash 3.wav,Puniho,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_shatter_metadata,strict_review_shortage_2,231297.wav,2e989c047a45d25da21f1b9d83baf9a6c103a398ea4a165f86e3566fc0bce12e,44100,16.0,-24.8639,13.55,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-006.wav,6b14816be149a4484f80e94a87967555607fa0e4357ffb0cc83aa57f5fe13ff0,10.25,-24.8629,-54.3758,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
7,FE2S-007,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_9,159748,159748,siren,UrbanSound8K siren recording 159748,conleec,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,159748-8-0-0.wav,6c4874b747fdbe92975049296a95f734306229d350dcf65cd1a6f6a21e2963fa,48000,4.0,-10.5072,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-007.wav,5b964af91d074bc80a0f80afcdadf5ed3b312cc92297361466c419e79cf9f111,13.0,-32.2907,-45.0151,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
8,FE2S-008,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,glass_breaking,glass_breaking,positive,FSD50K,eval,34201,34201,"Shatter,Chink_and_clink,Glass",glass_house1.wav,themfish,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_shatter_metadata,strict_review_shortage_2,34201.wav,41b9b2ec074a19cadd31cec75c97e894f557f3ca0df3d81f007aead175cafb74,44100,2.369025,-22.6813,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-008.wav,4dab601458742de44215465129921fc16d4db87d81d48244fa01420ceaff0ef5,10.25,-26.6493,-49.7925,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
9,FE2S-009,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_9,157866,157866,siren,UrbanSound8K siren recording 157866,Jefflix,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,157866-8-0-0.wav,6d5893b621c665028fef5f3f95a941553a2c3d88fe545089baf549ddd11578f6,44100,4.0,-29.1683,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-009.wav,31652b0311061ab9652264a784df2e3f772c14277b044cf05c057ea327be503b,13.0,-32.6699,-44.1383,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
10,FE2S-010,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,351778,351778,"Hiss,Gunshot_and_gunfire,Explosion",AK47 SFX.mp3,kennysvoice,http://creativecommons.org/publicdomain/zero/1.0/,supplement_explicit_firearm_metadata,strict_review_shortage_1,351778.wav,d31fde9ab5ca60fc95c0b6019fbad61ef296b2dd2c37375be442379c9c9eeaef,44100,13.426939,-29.1611,10.25,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-010.wav,de22c8d01ec2dab3cc1bdf999a035b2a4d9c963114a17d5f3058cdb897d01a7a,10.25,-30.9956,-46.968,-42.0007,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
