trial_order,trial_id,run_id,calibration_scope,expected_class,true_category,source_pilot2_trial_id,review_id,target_parent_gain_db,sequence_duration_s,repetitions,active_frames,required_active_frames,activity_pass,audibility_rating,audibility_pass,qualified,semantic_status,semantic_pass,usable_for_next_design,basis,design_consequence,operator_note,classification_scored,sha256,raw_log_path
1,TD-001,RUN-20260807-193323,ood_middle_level,out_of_distribution,door_wood_knock,P2-022,P2S-010,-15.0,10.5,2,2,3,False,too_quiet,False,False,not_assessed,True,False,,,just a little bit louder should do (10%),False,3819f1d39d1e192d6681aa69a18e253cf91199a91b8772ee45968e2b2035996f,experiments/raw/RUN-20260807-193323.txt
2,TD-002,RUN-20260807-193400,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,P2-025,P2R-044,8.0,10.12127,4,10,3,True,comfortable,True,True,rejected_by_operator,False,False,Operator said the recording does not sound enough like a gunshot although loudness is acceptable,Do not fix this source by changing gain; replace it with a more canonical gunshot source,"It just doesnt sound like a gunshot enough, loudness is ok",False,80420e9a81da6403faa784c4e32bd8be069d417b4d29eb6462423fe14226608b,experiments/raw/RUN-20260807-193400.txt
3,TD-003,RUN-20260807-193447,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,P2-004,P2R-052,8.0,10.383333,3,9,3,True,comfortable,True,True,rejected_by_operator,False,False,Operator said the burst is too quick and sounds too high,Do not fix this source by changing gain; replace it with a slower more canonical gunshot source,"Too quick rafal, sounds too high too",False,602e143cadd503a671e4f3ea2a5c99b7e1bf175122b8190c1870cfdcc17bc957,experiments/raw/RUN-20260807-193447.txt
4,TD-004,RUN-20260807-193519,ood_middle_level,out_of_distribution,clapping,P2-017,P2S-006,-15.0,10.5,2,8,3,True,too_loud_or_distorted,False,False,not_assessed,True,False,,,,False,9f275e4f0bb526dfb7070b1062687e66af6dd25c35f0d59f36ae7895ed60dd3b,experiments/raw/RUN-20260807-193519.txt
5,TD-005,RUN-20260807-193545,ood_middle_level,out_of_distribution,clock_tick,P2-013,P2S-013,-15.0,10.5,2,1,3,False,too_quiet,False,False,not_assessed,True,False,,,a little bit quiet,False,855199c910ad77166a4d32d004f959bfda042fa1baa52273402f0a10326a7e00,experiments/raw/RUN-20260807-193545.txt
6,TD-006,RUN-20260807-193617,glass_low_activity_repeated,glass_breaking,glass_breaking,P2-024,P2R-004,3.0,10.637528,5,8,3,True,comfortable,True,True,not_assessed,True,True,,,great here,False,ac2d4da3ebbe438b821252f29f82013a0b8b98c98d36d242b95454d2dc72d069,experiments/raw/RUN-20260807-193617.txt
7,TD-007,RUN-20260807-193658,ood_middle_level,out_of_distribution,crying_baby,P2-009,P2R-033,-15.0,10.5,2,5,3,True,comfortable,True,True,not_assessed,True,True,,,ok,False,8e96e97dca2791353deae8f650318502d7f005d01264c7f360064a5d40ab77f9,experiments/raw/RUN-20260807-193658.txt
8,TD-008,RUN-20260807-193723,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,P2-018,P2R-003,8.0,10.739728,3,10,3,True,comfortable,True,True,no_semantic_rejection,True,True,Operator questioned recognition but did not reject the sound itself,Retain the repeated delivery setting for development diagnostics,idk why it doesnt recognize,False,6833312615164a722019e17da4d0c2f75ed313e8ad788efb6dd2b54dcb4820f1,experiments/raw/RUN-20260807-193723.txt
9,TD-009,RUN-20260807-193756,ood_middle_level,out_of_distribution,rain,P2-015,P2A-001,-15.0,10.5,2,2,3,False,comfortable,True,False,not_assessed,True,False,,,,False,52b2c241a39f5c2bcbe5dab64a80891be8eb6e2ae6c44676cd74f9e1ee59b924,experiments/raw/RUN-20260807-193756.txt
10,TD-010,RUN-20260807-193821,glass_low_activity_repeated,glass_breaking,glass_breaking,P2-008,P2S-019,3.0,10.27483,3,5,3,True,comfortable,True,True,not_assessed,True,True,,,great,False,20efb726ea95f33cf3ff7157cbbfba96d093412f7e8e8a001f91be803ffbda79,experiments/raw/RUN-20260807-193821.txt
11,TD-011,RUN-20260807-193845,gunshot_repeated,gunshot_gunfire,gunshot_gunfire,P2-027,P2R-018,8.0,11.380159,7,9,3,True,too_quiet,False,False,no_semantic_rejection,True,False,Operator reported insufficient loudness and sub-threshold recognition but did not reject the sound itself,Retain the source and test a modest level increase in a new calibration attempt,some were recognized but not detected,False,a1bb45e13b52de6f4ec979d407162a862a2f58a5bdf5cdc2be923aa6176aee33,experiments/raw/RUN-20260807-193845.txt
