trial_order,trial_id,expected_class,stimulus_file,representativeness,audibility,note,current_result,p95_frame_rms_dbfs,board_active_frames,board_spectrogram_sum_max,expected_peak_probability,current_passed,current_dominant_prediction,current_hazards_seen,expected_top1_peak_probability,expected_top1_candidate_frames,threshold_passed,threshold_dominant_prediction,threshold_hazards_seen,operationally_eligible,expected_top1_seen
1,PILOT-001,speech,speech__fsd50k__val__speech__149825__0000.wav,ambiguous_wrong,loud_distorted,Its a straight up REALLY loud scream,fail_no_target_detection,-3.724113073753228,3,61504.0,0.145,False,siren,siren,,,False,waiting,,False,False
5,PILOT-005,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__160590__0015__r0.wav,ambiguous_wrong,quiet,"Not that quiet, but sounds more like a thump then gunshot, + its too short",fail_no_target_detection,-1.912064078538343,2,22080.0,0.3596,False,waiting,,0.3596,1.0,False,waiting,,False,True
7,PILOT-007,glass_breaking,glass_breaking__fsd50k__dev__156031__0022__r0.wav,ambiguous_wrong,loud_distorted,Its a glass breaking then a MAJOR BOOM sound behind it,fail_no_target_detection,-7.947642017465125,6,37696.0,0.0,False,thunderstorm,thunderstorm,0.0,0.0,False,thunderstorm,thunderstorm,False,False
8,PILOT-008,speech,speech__fsd50k__val__speech__132738__0023.wav,ambiguous_wrong,normal,Its a beastly growl not speech,fail_no_target_detection,-25.98907463165844,3,13824.0,0.1133,False,siren,siren,,,False,waiting,,False,False
9,PILOT-009,glass_breaking,glass_breaking__esc50__fold_4__212698__0007__r0.wav,atypical_valid,normal,Loud thump behind the breaking here as well,pass_with_detection,-35.89297915114266,1,5992.0,0.7422,True,glass_breaking,glass_breaking,0.7422,1.0,True,glass_breaking,glass_breaking,True,True
14,PILOT-014,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__221640__0032__r0.wav,canonical,normal,"A bit too short maybe, but quite good",fail_no_target_detection,-19.116327584411916,2,15200.0,0.3451,False,waiting,,0.3451,1.0,False,glass_breaking,glass_breaking,True,True
19,PILOT-019,speech,speech__fsd50k__val__speech__174955__0015.wav,canonical,loud_distorted,weird speech but valid,pass_with_detection,-15.413268500848924,3,18672.0,0.6918,True,speech,,,,True,speech,,True,False
20,PILOT-020,glass_breaking,glass_breaking__fsd50k__dev__178178__0027__r0.wav,ambiguous_wrong,normal,"Not glass breaking, just like a toast of a wine glass",fail_no_target_detection,-33.21488639180706,0,2012.0,0.0,False,waiting,,0.0,0.0,False,waiting,,False,False
21,PILOT-021,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__150139__0011__r0.wav,canonical,normal,great,fail_no_target_detection,-2.4280392998927685,2,30448.0,0.523,False,waiting,,0.523,1.0,True,gunshot_gunfire,gunshot_gunfire,True,True
26,PILOT-026,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__187534__0023__r0.wav,atypical_valid,normal,"multiple gunshots, still good",fail_no_target_detection,-10.152042050421423,2,28736.0,0.4336,False,waiting,,0.0,0.0,False,glass_breaking,glass_breaking,True,False
27,PILOT-027,speech,speech__fsd50k__val__speech__239902__0005.wav,ambiguous_wrong,loud_distorted,straight up screaming,pass_with_detection,-14.110868318747997,4,34048.0,0.3076,True,dog_bark,dog_bark,,,True,dog_bark,dog_bark,False,False
28,PILOT-028,glass_breaking,glass_breaking__fsd50k__dev__162169__0025__r0.wav,canonical,normal,still a thump sound behind it but good,fail_no_target_detection,-24.95360170675877,1,8792.0,0.4648,False,waiting,,0.4648,1.0,True,glass_breaking,glass_breaking,True,True
30,PILOT-030,glass_breaking,glass_breaking__fsd50k__dev__212698__0034__r0.wav,canonical,quiet,"A bit too quiet, otherwise great",fail_no_target_detection,-33.964011280305904,1,4776.0,0.5938,False,waiting,,0.5938,1.0,True,glass_breaking,glass_breaking,True,True
32,PILOT-032,gunshot_gunfire,gunshot_gunfire__fsd50k__dev__257963__0035__r0.wav,canonical,normal,great,fail_no_target_detection,-13.970957336366476,2,18304.0,0.4064,False,waiting,,0.4064,1.0,False,waiting,,True,True
35,PILOT-035,speech,speech__fsd50k__val__speech__63276__0002.wav,ambiguous_wrong,normal,"alvin and chipmunks type of speech, weird",pass_with_detection,-11.862384564193588,11,38912.0,0.5179,True,speech,siren,,,True,speech,,False,False
