"review_order","review_id","expected_class","stimulus_sha256","validity","completeness","audibility","note"
"1","PAR-001","gunshot_gunfire","88203bb53aff1e33ab4c87434d2e094f1e969a02c0b214f0fe36d406fd990135","canonical","complete","normal",""
"2","PAR-002","gunshot_gunfire","b222f763ab04c65b02ee0b9f2321a472f6a542311c303231471ea951609a8dd7","wrong_or_absent","truncated","normal","nothing in the shot"
"3","PAR-003","gunshot_gunfire","e2f44c7e363d016ec3576bf97d49730e0acfe92e946299d7dd96326a670f2fc4","wrong_or_absent","unsure","loud_distorted","something else, its not a gunshot, the frequency is too high"
"4","PAR-004","glass_breaking","f4bf10652424d11da567426d2496c18e64c8b5581bd285800a13243c8b64b6e3","canonical","complete","normal",""
"5","PAR-005","glass_breaking","7cc79bfda26c101ac13e949db5ce87e9738ac49b7fbfb8a4257d041c03d68f21","canonical","complete","normal",""
"6","PAR-006","glass_breaking","c6abe2e8a8cbe4e9d59435017c7797edc727775d427884007fd684d327f95bbc","wrong_or_absent","unsure","normal","nothing in audio"
"7","PAR-007","glass_breaking","390417bd4e38d5f263c43a247b5c9db2534f9592f58b93a62f3bd39e8591d9fb","canonical","complete","quiet","very quiet, at least +20db"
"8","PAR-008","gunshot_gunfire","b60ec2b14f6bfbe2a040eefa466c9702dc6ceceb0935e0b96ea69278a21c3dd0","canonical","complete","normal",""
"9","PAR-009","gunshot_gunfire","0ab2c0d2fb79e29b21eb3e2b323ef2fa2037bf26fb221e33626de4d98e69e4f5","wrong_or_absent","truncated","normal","the gunshot was cut, only the aftersound is there"
"10","PAR-010","gunshot_gunfire","357fcd5763607b5fbdfa1cdab3f62934ebb54d6a80582351f0485fb20ea25495","canonical","complete","normal",""
"11","PAR-011","glass_breaking","22d3f4f0cdc677648dbff8acbb2ca89bcc350ef262eee6968ebb1d9048338af2","canonical","complete","normal",""
"12","PAR-012","gunshot_gunfire","0974e7ef952fcd4c9e2dc87a287fcefc2de5b12043e514fafebb73d90ce4f71e","canonical","complete","normal",""
"13","PAR-013","gunshot_gunfire","2104ff2825355ee4292049fce9fd6b51fb3655450b2b278faef80286a0b27df9","wrong_or_absent","truncated","quiet","only the echo is there, gunshot was cut"
"14","PAR-014","gunshot_gunfire","0430e7bc305eab0f20a7664dd11eecf2d27b1f4b632174c01c73f210a0d06a9d","canonical","complete","loud_distorted","multiple shots"
"15","PAR-015","glass_breaking","9d0fb58c2b68e55c388fa272d520588ca94c7d8c6079a5576e961036e1e10413","canonical","complete","normal",""
"16","PAR-016","glass_breaking","abc1e7be683e270c3c52162fdc37ea7e1e469fcd98ad82255a99959d438e3a1f","canonical","complete","normal",""
"17","PAR-017","glass_breaking","9022b9e59874c6cb747a42541205f4a5a6d640379c9d329f1e3bfba6ff70867b","atypical_valid","complete","quiet","very quiet"
"18","PAR-018","glass_breaking","802e2d31a2a9d7e8365c199b74245d443a4a591c7b7d8a9b850d7f06921b8ffb","canonical","complete","normal",""
