"review_order","candidate_id","stimulus_sha256","validity","completeness","audibility","artifact","note"
"1","FE2C-001","12a3fc3890bc919f7c80baecc28bcf03b75df94d443f4facf951b1076764480b","canonical","complete","normal","none",""
"2","FE2C-002","b571253bd2731aa07a27512e9f58e8a2d8f5cddf78686b9fd180f9e772adedbc","wrong_or_absent","complete","normal","high_pitched_tone",""
"3","FE2C-003","151049c2829bea4e4d46dfaf8af413057ecb7bbfae9cb32cec41b3cf8f787445","canonical","complete","normal","none","ok if it was meant as glass breaking"
"4","FE2C-004","bcbd9f5fa1db7d09fc8af5e6c400799295edd07b8b27add08ec125e515ea8534","canonical","complete","normal","static_or_noise",""
"5","FE2C-005","4eb77ee98aba787d4dba23a4222e8356a3bcd49cea634ba25bcc378ad0e528ac","canonical","complete","normal","none",""
"6","FE2C-006","52e9e317c2ad729b654177dab11221f65dff74aafa69b4a7d66058d422fa09e8","wrong_or_absent","unsure","normal","none",""
"7","FE2C-007","9b6fc5ba01bd86fb5d5b6acca97822d286e1fb254450c87b5bdaf8dbe7fc80de","canonical","complete","loud_distorted","none",""
"8","FE2C-008","37b1e2194978c4c4d508b01153b6654e63f3c1ddf7a982a1617c991b1768e726","canonical","complete","normal","none",""
"9","FE2C-009","b647a87a9a0b0fe841ef082f3b6a3aaf7367788c87588972f515933882eef24b","wrong_or_absent","complete","normal","none",""
"10","FE2C-010","13f41e052739d6b7da1c9dc0ba81f9c2e2d514a127ff5b4513cffe44d04a9cd2","wrong_or_absent","complete","normal","none",""
"11","FE2C-011","ffb7cccd2b5ab5ff931f6fef03d936f8452ffd4337447cf44c92f23e982d83de","canonical","complete","normal","none",""
"12","FE2C-012","6f3f70f6e664ba9f9e8f0b46d59f926c7385caa6dc62070f723b9539ef375c8f","canonical","complete","normal","none",""
"13","FE2C-013","5d3e7d01f4cce130fbc877d3a1009f527544b09ede22d13c64469414e65f0c68","canonical","complete","normal","none",""
"14","FE2C-014","138deefe5e85d59cf52b20e5fc6142a0f2caaf49e20653bc70295372f09384c2","wrong_or_absent","unsure","normal","none",""
"15","FE2C-015","db155007ad9a6312020f86fbe9aa78f8dbf9cc3ef44fc6643dc91ca008996f3e","canonical","complete","normal","none",""
"16","FE2C-016","ad2b0820936d865d6da3e1de1d0337ea7d22805aa7a4cf77da18459c54ce6f13","canonical","complete","normal","none",""
"17","FE2C-017","12fa51e632110c17b3fa80417be88cf89dc7dc5aca715fdb71593ee82f976c10","canonical","complete","normal","none",""
"18","FE2C-018","d4782f8e5d8a3cacbe165c03c074ec51775cadcefa265f3b2c0195b5eb8740ab","canonical","complete","normal","none",""
"19","FE2C-019","a82edad5e283a1e2c3cdb1274b48c040c09c954c0bd9713a4546aa927778b40d","atypical_valid","complete","normal","other","there are other sounds in the background"
"20","FE2C-020","d89f19d5bdb34387612cd48a3f96e0ac05b1d0d8cbc953c396dd68283c8d1879","atypical_valid","complete","normal","high_pitched_tone",""
"21","FE2C-021","f94144b0bd3f6ff1ea668961f210a1ae2226377fed5c5926b22cabd0e4c24181","canonical","complete","normal","none",""
"22","FE2C-022","222bb1b2630f54a6ea27d6b6ce230a7c9b6953f57c3afe081c7ed8cac9db2f17","atypical_valid","complete","normal","static_or_noise","too much going on in the background"
"23","FE2C-023","559e9f4bfbed2774850ca75d6401790d3106d1cc9fc7163ca26e67677bb47ab2","canonical","complete","normal","none",""
"24","FE2C-024","7dc04d6a7a38a99472f466628a7138f602d9c346744ab9713a15ccb784936590","canonical","complete","normal","none",""
"25","FE2C-025","a1b6c6a3e8bfe4961e2089bfc37efc9941908056965608747a2d0a8774f9be24","wrong_or_absent","complete","normal","none",""
"26","FE2C-026","9633088421942d13a12e4c618e5462ba22f3ba3cd8976e2ae420c90e952e7ffd","canonical","complete","normal","none",""
