"review_order","review_id","expected_class","stimulus_sha256","validity","completeness","audibility","note"
"1","TER-001","gunshot_gunfire","b7685410aac9122b7597a1ae3690002eb2063cbff920a43acb15bafc14c9d603","canonical","complete","normal",""
"2","TER-002","gunshot_gunfire","a269fb7a054995c71fb804054d95b115d9697c7e2ce5349c96d05acdc9d25160","canonical","complete","normal",""
"3","TER-003","glass_breaking","3ce2886c7c9b714c5d1c6332fc2e704457841247bc52f6d2ad8a157f5e1b6886","canonical","complete","normal",""
"4","TER-004","glass_breaking","88bf4cbe059971fae2febd572ad87b2b524ad4094bc2e9cb41275157b4991bf6","canonical","complete","normal",""
"5","TER-005","gunshot_gunfire","d0f7f078bd4901192b6990af8de91a83fefb784af94bc2f7d5154b10224f81d9","canonical","complete","quiet",""
"6","TER-006","glass_breaking","c3b3cc830f7cd01fb71b416e13815e6154cd43fedac504bd46779b90b8a96648","atypical_valid","complete","normal","there is a weird background noise after the breaking"
"7","TER-007","gunshot_gunfire","8bbae24f1c1af51e7058904e689bd0ec71aeef6d89b19865f99e73107ce0bb60","canonical","complete","normal",""
"8","TER-008","glass_breaking","206b1d14ad2196462178293e410fda9dd19658c06513583ac79501f44780a100","atypical_valid","complete","quiet","very quiet"
"9","TER-009","glass_breaking","bed81f3ac24bd11ae94045eda23c1ff2e92feefb8548bbb961513a799954345b","wrong_or_absent","complete","quiet","almost unhearable, very quiet"
"10","TER-010","glass_breaking","b51e7e2da996a8ff3b00c43c0e0adfb83d0ecb78ffdca0779c9d679424b81ca2","atypical_valid","complete","normal","its glass ringing like a toast, not breaking"
"11","TER-011","gunshot_gunfire","25fdcbbbbdfeaca18138ba206cf937ccdf723bee253cd65ad348d98be6878f58","atypical_valid","complete","normal","sounds liek a whip, not a gunshot"
"12","TER-012","gunshot_gunfire","00beb210836df994af955b5a35bb6c08b35a3d4e1d9995202c8a1a74d9e8bf9d","canonical","complete","normal",""
"13","TER-013","gunshot_gunfire","ffad4622880b4fdbab151ed17560884504408e4666ea3d1f05acfa041a47e472","canonical","complete","normal",""
"14","TER-014","gunshot_gunfire","c244205343698496c2832781a8aea539f7707469fe8abc41962ba04f4506e1f3","atypical_valid","complete","normal","like a whip"
"15","TER-015","glass_breaking","f5ef37cbfb5d2ab1b999916fd9617f5fae00e51873d3ece387e657ec757d511a","canonical","complete","quiet","its not breaking, but its the sound of glass"
"16","TER-016","glass_breaking","4a7cb49a82351ddba9f58a4a1fc9aa90b69a9c52ac50d40593571a9522a2b586","wrong_or_absent","complete","normal","not breaking"
"17","TER-017","gunshot_gunfire","42cc68829b6866af3fc4e1c0d5a8b9ecd509e36612ef9c125d70383aadd45b4d","atypical_valid","complete","loud_distorted","multiple shots"
"18","TER-018","glass_breaking","788b201eab2a015f0fba45246b74541b64c688351b9117bb4fafde79e0a1c0c5","wrong_or_absent","complete","normal","weird glass noises"
"19","TER-019","glass_breaking","1c076558b6b480f6535888019d702163344307b15b6d95341c2a5a0725b1e3d0","atypical_valid","truncated","quiet","quiet, seems like a weird glass breaking"
"20","TER-020","glass_breaking","701e7185936e1614d41ca51061255175aa2ab421b23db9dd6ffefb579ce65f24","canonical","complete","normal",""
"21","TER-021","glass_breaking","240acc7c760d28ef169c0e9a3d6ee4e74573f14c3ed5e8806c227bed4409a05a","wrong_or_absent","unsure","quiet","weird"
"22","TER-022","glass_breaking","df5c021f7e17768090b830f2d598d8abb55ab1bfe68002543a149b0155935e4d","atypical_valid","complete","quiet","quiet, small glass"
"23","TER-023","gunshot_gunfire","17e05994d591c02838244dd5bb0295ce9aa6d5f3297b71495f562e9bac5cfa79","canonical","complete","loud_distorted","multiple shots"
"24","TER-024","glass_breaking","164df75dcb27dcd0bafcc0fe2c9f9006db09049bda7abfe3e98a84fa416597b1","atypical_valid","truncated","loud_distorted","cut a little too early, cuts off the breaking"
"25","TER-025","gunshot_gunfire","e56a72e6316c6f33dfa0d390c9e431b005b37c12d3915e6a70a9ea29854c8c90","canonical","complete","normal",""
"26","TER-026","glass_breaking","2b9627e488adea497c8da55d21e54c78d8dd877f45a343703288c6c3a7f00d21","canonical","complete","normal",""
"27","TER-027","gunshot_gunfire","a740b13c2df3020603eee83ec26295cd9d17194f34cdde72217e37770238a69d","canonical","complete","normal",""
"28","TER-028","gunshot_gunfire","f7b3aef602469c79e9cbb947816e14ab972e82eccf9a704129d99f418e8acdc9","canonical","complete","normal",""
"29","TER-029","gunshot_gunfire","5f4b43f993a830205c59f0c9d27c58646d9910ce07c22bdd554b3d9f114a3ecf","atypical_valid","truncated","normal","cuts off some of the sound"
"30","TER-030","gunshot_gunfire","cf7651a4ba3a2d01f4408322ffb3ded95ee1f9bcc1905f220d8f9e06578f792c","canonical","complete","normal",""
