"review_order","review_id","expected_class","stimulus_sha256","validity","completeness","audibility","note"
"1","PAR-001","glass_breaking","6fb61c5e67ce1c1de9e965b1f0897d9e78c9da62055cfa5324c93b7555eaabed","canonical","complete","normal",""
"2","PAR-002","glass_breaking","951d358811bbea80106f0e2a43713c9fbfa9b6baa770bc40a535251252d71c93","canonical","complete","normal",""
"3","PAR-003","glass_breaking","74e2db7516a3b8586bc6fea6d40e36775c8d0b847dda05061874123d5b8daf59","canonical","complete","normal",""
"4","PAR-004","glass_breaking","34ce022eb47cab30bc93306a7c71a5467bdda899fd6cb7da77ed01893b8895e9","canonical","complete","normal",""
"5","PAR-005","glass_breaking","460edb626faeb19a7efd3a62c6237e2226c2e46bc5f95c04d0f0aec3b69d14b0","canonical","complete","normal",""
"6","PAR-006","glass_breaking","20cb6e9bdccb534edfd78b6be7bc0cf35f29b1d5a037ad5481887ae2dba81138","canonical","complete","normal",""
"7","PAR-007","glass_breaking","54168828be17a1a4d400b80c100b250effd14c55a252404a54036f1589999ba5","canonical","complete","normal",""
"8","PAR-008","glass_breaking","f6ba4398cfaad2c991545d5371273c7a081793c3585b5d7656d8f63749d6f7ff","canonical","complete","normal",""
"9","PAR-009","glass_breaking","afdf0f6e208e8d10682a262df0131f5a33b1e51b4f5e99bf9f3f427b8b8cf815","canonical","complete","normal",""
"10","PAR-010","glass_breaking","2abb2fa3d6c63f12f75a8a9c256d7d344e98e73324ceec29ee63e318cc072fb0","atypical_valid","complete","normal",""
"11","PAR-011","glass_breaking","ced03c4d43df0602c0f1306fe733f0e4b65a420fccfc97894e621a278a89d9f6","canonical","complete","normal",""
"12","PAR-012","glass_breaking","4c6c75eaf28e41393d96321eaf1b5a6fb5e7ab93739d571d7162c9a3077bebf2","canonical","complete","normal",""
