trial_order,trial_id,run_id,expected_class,true_category,test_type,source_review_id,attenuation_db,passed,dominant_confirmed_output,peak_expected_score,peak_hazard_score,false_hazard,active_frames,frames,timed_frames,inference_ms_mean,preprocess_ms_mean,postprocess_ms_mean
1,AT-001,RUN-20260811-181147,gunshot_gunfire,gunshot_gunfire,positive,P2R-018,-12,True,gunshot_gunfire,0.6653,0.6653,False,4,14,14,4.630000000000001,0.7100000000000001,0.0
2,AT-002,RUN-20260811-181201,glass_breaking,glass_breaking,positive,P2R-004,0,True,glass_breaking,0.9914,0.9914,False,5,16,16,4.63,0.71,0.0
3,AT-003,RUN-20260811-181217,gunshot_gunfire,gunshot_gunfire,positive,P2R-018,0,True,gunshot_gunfire,0.8417,0.8417,False,6,15,15,4.63,0.7100000000000002,0.0
4,AT-004,RUN-20260811-181232,glass_breaking,glass_breaking,positive,P2R-004,-12,False,unknown,0.0,0.0,False,0,16,16,4.63,0.71,0.0
5,AT-005,RUN-20260811-181248,dog_bark,dog_bark,positive,P2R-030,0,True,dog_bark,0.6844,0.6844,False,5,13,13,4.630000000000001,0.7100000000000001,0.0
6,AT-006,RUN-20260811-181300,glass_breaking,glass_breaking,positive,P2R-004,-6,True,glass_breaking,0.9887,0.9887,False,3,16,16,4.63,0.71,0.0
7,AT-007,RUN-20260811-181316,out_of_distribution,door_wood_knock,ood,P2S-010,0,True,speech,,0.238,False,1,12,12,4.630000000000001,0.71,0.0
8,AT-008,RUN-20260811-181328,dog_bark,dog_bark,positive,P2R-030,-6,True,dog_bark,0.9155,0.9155,False,5,12,12,4.630000000000001,0.71,0.0
9,AT-009,RUN-20260811-181340,siren,siren,positive,P2R-016,-6,True,siren,0.9964,0.9964,False,5,11,11,4.630000000000001,0.71,0.0
10,AT-010,RUN-20260811-181351,out_of_distribution,wind,ood,P2A-002,0,True,unknown,,0.0,False,0,12,12,4.630000000000001,0.71,0.0
11,AT-011,RUN-20260811-181404,dog_bark,dog_bark,positive,P2R-030,-12,True,dog_bark,0.765,0.765,False,3,12,12,4.630000000000001,0.71,0.0
12,AT-012,RUN-20260811-181416,thunderstorm,thunderstorm,positive,P2R-006,0,False,unknown,0.4671,0.4956,False,5,12,12,4.630000000000001,0.71,0.0
13,AT-013,RUN-20260811-181428,speech,speech,positive,P2R-026,0,True,speech,0.9837,0.0203,False,4,12,12,4.630000000000001,0.71,0.0
14,AT-014,RUN-20260811-181440,thunderstorm,thunderstorm,positive,P2R-006,-12,True,thunderstorm,0.6713,0.6713,False,4,12,12,4.630000000000001,0.71,0.0
15,AT-015,RUN-20260811-181452,siren,siren,positive,P2R-016,0,True,siren,0.9273,0.9273,False,5,11,11,4.630000000000001,0.71,0.0
16,AT-016,RUN-20260811-181503,speech,speech,positive,P2R-026,-6,True,speech,0.9943,0.0122,False,4,12,12,4.630000000000001,0.71,0.0
17,AT-017,RUN-20260811-181515,gunshot_gunfire,gunshot_gunfire,positive,P2R-018,-6,True,gunshot_gunfire,0.9592,0.9592,False,4,14,14,4.630000000000001,0.7100000000000001,0.0
18,AT-018,RUN-20260811-181530,out_of_distribution,rain,ood,P2A-001,0,True,unknown,,0.0,False,0,13,12,4.630000000000001,0.71,0.0
19,AT-019,RUN-20260811-181542,thunderstorm,thunderstorm,positive,P2R-006,-6,True,thunderstorm,0.6102,0.6102,False,5,12,12,4.630000000000001,0.71,0.0
20,AT-020,RUN-20260811-181554,siren,siren,positive,P2R-016,-12,True,siren,0.9977,0.9977,False,4,12,11,4.630000000000001,0.71,0.0
21,AT-021,RUN-20260811-181605,speech,speech,positive,P2R-026,-12,False,unknown,0.0,0.0,False,0,12,12,4.630000000000001,0.71,0.0
