attempt_id,trial_order,trial_id,run_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,selection_stratum,class_delivery_gain_db,stimulus_sha256,frames_observed,active_frames,activity_coverage,passed,confirmed_expected_frames,confirmed_hazard_frames,confirmed_outputs,dominant_confirmed_output,expected_rank1_seen,expected_rank1_frames,peak_expected_probability,speech_hazard_false_alert,ood_hazard_false_alert,first_target_offset_s_estimated,first_target_after_playback_s_estimated,raw_log_path
FE-A01,1,FE-001,RUN-20260808-204919,speech,speech,positive,FSD50K,eval,277005,normal_speech_Child_speech_and_kid_speaking,0.0,be515d9d325174175a22b7a6abd98d49fef28c562b3369be38997df13085cab9,21,10,True,True,12,0,speech,speech,True,10,0.75,False,False,4.0,1.0,experiments/raw/RUN-20260808-204919.txt
FE-A01,2,FE-002,RUN-20260808-204939,thunderstorm,thunderstorm,positive,FSD50K,eval,399656,metadata_pure_reserved_evaluation,0.0,a54b0078ddc6b4fed268874a770f79afd1062dc22928724296637022f4508a38,20,8,True,True,1,1,thunderstorm,thunderstorm,True,8,0.7539,False,False,3.158,0.15799999999999992,experiments/raw/RUN-20260808-204939.txt
FE-A01,3,FE-003,RUN-20260808-204959,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,76093,metadata_pure_reserved_evaluation,11.4334,aa8f9bc159ef21942e453f8a18fd5481a005af8367fe62be0924ce278b7b169e,20,9,True,False,0,0,,unknown,True,9,0.52,False,False,,,experiments/raw/RUN-20260808-204959.txt
FE-A01,4,FE-004,RUN-20260808-205019,speech,speech,positive,FSD50K,eval,184490,normal_speech_Female_speech_and_woman_speaking,0.0,7f559dd9100dd7707698f940cb3559936c73e984a848a69e7b3b2cc784b9a8f4,21,14,True,True,16,0,speech,speech,True,14,0.8893,False,False,4.0,1.0,experiments/raw/RUN-20260808-205019.txt
FE-A01,5,FE-005,RUN-20260808-205040,out_of_distribution,crying_baby,ood,ESC-50,fold_5,198411,one_per_hard_negative_category,-17.08,36844d89a70ecd4b1a53db2df2fe33b8c3883d294e301a819d265669b434209c,21,3,True,False,0,2,siren|speech,speech,False,0,0.0,False,True,,,experiments/raw/RUN-20260808-205040.txt
FE-A01,6,FE-006,RUN-20260808-205100,dog_bark,dog_bark,positive,FSD50K,eval,396221,metadata_pure_reserved_evaluation,0.4556,60cf226051a04aa9d3f3ba9ab6925673a9a911358686afcacf89ce7f9cf5cbfc,20,11,True,True,5,5,dog_bark|speech,dog_bark,True,10,0.8755,False,False,5.263,2.263,experiments/raw/RUN-20260808-205100.txt
FE-A01,7,FE-007,RUN-20260808-205120,speech,speech,positive,FSD50K,eval,257204,normal_speech_Child_speech_and_kid_speaking,0.0,1bd6f62e6d146eefc5a1239101236002f49f39f28ed8a657bee277a1bb73a4f4,20,10,True,True,11,0,speech,speech,True,3,0.5369,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-205120.txt
FE-A01,8,FE-008,RUN-20260808-205140,thunderstorm,thunderstorm,positive,FSD50K,eval,234736,metadata_pure_reserved_evaluation,0.0,66b69d69dcc1fffed9f3f11503fecbbf836e9f996e48a5cc4aa334f3324cf906,21,11,True,True,9,9,thunderstorm,thunderstorm,True,10,0.7628,False,False,4.0,1.0,experiments/raw/RUN-20260808-205140.txt
FE-A01,9,FE-009,RUN-20260808-205200,siren,siren,positive,FSD50K,eval,345813,metadata_pure_reserved_evaluation,0.0,f8f082701b6d32f6387acf80edae2d3b3dd93cac826e423b92917ac89a6e38cd,21,13,True,True,14,14,siren,siren,True,13,0.9766,False,False,4.0,1.0,experiments/raw/RUN-20260808-205200.txt
FE-A01,10,FE-010,RUN-20260808-205220,dog_bark,dog_bark,positive,FSD50K,eval,261020,metadata_pure_reserved_evaluation,-0.0,398414beff6cebce692a1de0c50557d9e41eb851d628637b7ee9cfb4293bb4f3,20,0,False,False,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-205220.txt
