trial_order,trial_id,run_id,expected_class,true_category,review_candidate_id,source_dataset,source_partition,source_id,passed,full_capture_passed,frames_observed,stimulus_window_frames,active_frames,activity_coverage,confirmed_expected_frames,dominant_confirmed_output,expected_rank1_seen,expected_rank1_frames,peak_expected_probability,first_expected_confirmation_s,confirmation_latency_after_playback_s,confirmed_hazard_frames,hazard_output_counts,hazard_false_alert,multiple_frame_hazard_false_alert,full_capture_confirmed_hazard_frames,full_capture_hazard_false_alert,preplayback_hazard_frames,raw_log_path
1,FE4-001,RUN-20260816-215305,gunshot_gunfire,gunshot_gunfire,FE2C-099,FSD50K,eval,52357,True,True,31,25,11,True,1,glass_breaking,True,7,0.8848,4.0,1.0,2,glass_breaking:1;gunshot_gunfire:1,False,False,2,False,0,experiments/raw/RUN-20260816-215305.txt
2,FE4-002,RUN-20260816-215321,dog_bark,dog_bark,FE2C-048,FSD50K,eval,396220,True,True,31,25,17,True,19,dog_bark,True,17,0.9971,5.0,2.0,19,dog_bark:19,False,False,19,False,0,experiments/raw/RUN-20260816-215321.txt
3,FE4-003,RUN-20260816-215336,speech,speech,FE2C-023,FSD50K,eval,196382,True,True,31,25,23,True,5,other,True,5,0.6533,7.0,4.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215336.txt
4,FE4-004,RUN-20260816-215351,other,Fireworks,FE2C-037,FSD50K,eval,161678,True,True,31,25,22,True,21,other,True,22,0.8304,5.0,2.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215351.txt
5,FE4-005,RUN-20260816-215407,siren,siren,FE2C-091,FSD50K,eval,58014,True,True,31,25,23,True,16,siren,True,18,0.9868,7.5,4.5,16,siren:16,False,False,16,False,0,experiments/raw/RUN-20260816-215407.txt
6,FE4-006,RUN-20260816-215422,glass_breaking,glass_breaking,FE2C-042,FSD50K,eval,33629,True,True,30,24,12,True,6,glass_breaking,True,10,0.9331,4.655,1.6550000000000002,6,glass_breaking:6,False,False,6,False,0,experiments/raw/RUN-20260816-215422.txt
7,FE4-007,RUN-20260816-215438,dog_bark,dog_bark,FE2C-072,FSD50K,eval,344955,True,True,30,24,18,True,20,dog_bark,True,18,0.9969,4.138,1.138,20,dog_bark:20,False,False,20,False,0,experiments/raw/RUN-20260816-215438.txt
8,FE4-008,RUN-20260816-215453,glass_breaking,glass_breaking,FE2S-006,FSD50K,eval,231297,True,True,31,25,3,True,2,glass_breaking,True,2,1.0,13.5,10.5,2,glass_breaking:2,False,False,2,False,0,experiments/raw/RUN-20260816-215453.txt
9,FE4-009,RUN-20260816-215508,siren,siren,FE2C-049,FSD50K,eval,392881,True,True,31,25,23,True,14,siren,True,18,0.8938,5.0,2.0,14,siren:14,False,False,14,False,0,experiments/raw/RUN-20260816-215508.txt
10,FE4-010,RUN-20260816-215524,speech,speech,FE2C-032,FSD50K,eval,153108,False,False,30,24,23,True,0,other,False,0,0.3568,,,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215524.txt
11,FE4-011,RUN-20260816-215539,gunshot_gunfire,gunshot_gunfire,FE2C-039,FSD50K,eval,171236,True,True,31,25,17,True,15,gunshot_gunfire,True,17,0.9935,4.5,1.5,15,gunshot_gunfire:15,False,False,15,False,0,experiments/raw/RUN-20260816-215539.txt
12,FE4-012,RUN-20260816-215555,other,Bell,FE2C-058,FSD50K,eval,200318,True,True,31,25,21,True,19,other,True,21,0.9926,5.0,2.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215555.txt
13,FE4-013,RUN-20260816-215610,glass_breaking,glass_breaking,FE2S-018,FSD50K,eval,29712,True,True,30,24,12,True,13,glass_breaking,True,10,0.9592,3.621,0.621,13,glass_breaking:13,False,False,13,False,0,experiments/raw/RUN-20260816-215610.txt
14,FE4-014,RUN-20260816-215625,speech,speech,FE2C-064,FSD50K,eval,257865,True,True,30,24,23,True,23,speech,True,23,0.9636,3.621,0.621,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215625.txt
15,FE4-015,RUN-20260816-215641,gunshot_gunfire,gunshot_gunfire,FE2C-051,FSD50K,eval,249146,True,True,31,25,23,True,4,gunshot_gunfire,True,15,0.8881,4.0,1.0,4,gunshot_gunfire:4,False,False,4,False,0,experiments/raw/RUN-20260816-215641.txt
16,FE4-016,RUN-20260816-215656,other,Clapping,FE2C-001,FSD50K,eval,349695,True,True,31,25,23,True,2,other,True,2,0.3798,6.0,3.0,1,glass_breaking:1,True,False,1,True,0,experiments/raw/RUN-20260816-215656.txt
17,FE4-017,RUN-20260816-215712,dog_bark,dog_bark,FE2C-061,FSD50K,eval,361544,True,True,30,24,15,True,19,dog_bark,True,13,0.9814,4.138,1.138,19,dog_bark:19,False,False,19,False,0,experiments/raw/RUN-20260816-215712.txt
18,FE4-018,RUN-20260816-215727,siren,siren,FE2C-024,FSD50K,eval,405590,True,True,31,25,14,True,7,siren,True,11,0.9143,7.5,4.5,7,siren:7,False,False,7,False,0,experiments/raw/RUN-20260816-215727.txt
19,FE4-019,RUN-20260816-215742,speech,speech,FE2C-036,FSD50K,eval,120952,True,True,31,25,18,True,20,speech,True,18,0.9751,3.5,0.5,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215742.txt
20,FE4-020,RUN-20260816-215758,gunshot_gunfire,gunshot_gunfire,FE2S-010,FSD50K,eval,351778,True,True,30,24,20,True,3,gunshot_gunfire,True,10,0.9808,4.655,1.6550000000000002,3,gunshot_gunfire:3,False,False,3,False,0,experiments/raw/RUN-20260816-215758.txt
21,FE4-021,RUN-20260816-215813,siren,siren,FE2S-009,UrbanSound8K,fold_9,157866,True,True,31,25,23,True,18,siren,True,21,0.9946,4.5,1.5,18,siren:18,False,False,18,False,0,experiments/raw/RUN-20260816-215813.txt
22,FE4-022,RUN-20260816-215829,dog_bark,dog_bark,FE2C-034,FSD50K,eval,15792,True,True,31,25,9,True,8,dog_bark,True,6,0.8269,4.0,1.0,8,dog_bark:8,False,False,9,False,1,experiments/raw/RUN-20260816-215829.txt
23,FE4-023,RUN-20260816-215844,glass_breaking,glass_breaking,FE2S-002,FSD50K,eval,409297,True,True,31,25,8,True,11,glass_breaking,True,7,1.0,4.0,1.0,11,glass_breaking:11,False,False,11,False,0,experiments/raw/RUN-20260816-215844.txt
24,FE4-024,RUN-20260816-215859,other,Dishes_and_pots_and_pans,FE2C-069,FSD50K,eval,33854,True,True,30,24,23,True,21,other,True,23,0.9039,4.655,1.6550000000000002,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215859.txt
25,FE4-025,RUN-20260816-215915,glass_breaking,glass_breaking,FE2C-055,FSD50K,eval,155620,True,True,31,25,10,True,8,glass_breaking,True,6,0.8533,5.0,2.0,8,glass_breaking:8,False,False,8,False,0,experiments/raw/RUN-20260816-215915.txt
26,FE4-026,RUN-20260816-215930,speech,speech,FE2C-017,FSD50K,eval,211528,True,True,31,25,13,True,10,speech,True,8,0.7218,6.0,3.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-215930.txt
27,FE4-027,RUN-20260816-215946,siren,siren,FE2S2-008,UrbanSound8K,fold_6,74726,True,True,31,25,22,True,19,siren,True,22,0.987,4.5,1.5,19,siren:19,False,False,19,False,0,experiments/raw/RUN-20260816-215946.txt
28,FE4-028,RUN-20260816-220001,gunshot_gunfire,gunshot_gunfire,FE2C-027,FSD50K,eval,344142,True,True,30,24,21,True,5,gunshot_gunfire,True,19,0.8521,4.138,1.138,5,gunshot_gunfire:5,False,False,7,False,2,experiments/raw/RUN-20260816-220001.txt
29,FE4-029,RUN-20260816-220016,dog_bark,dog_bark,FE2C-012,FSD50K,eval,29596,True,True,31,25,22,True,23,dog_bark,True,22,0.9972,4.0,1.0,23,dog_bark:23,False,False,23,False,0,experiments/raw/RUN-20260816-220016.txt
30,FE4-030,RUN-20260816-220032,other,Applause,FE2C-011,FSD50K,eval,25295,True,True,31,25,23,True,5,other,True,10,0.5581,6.0,3.0,4,gunshot_gunfire:4,True,True,4,True,0,experiments/raw/RUN-20260816-220032.txt
31,FE4-031,RUN-20260816-220047,glass_breaking,glass_breaking,FE2C-059,FSD50K,eval,204185,True,True,31,25,18,True,22,glass_breaking,True,18,1.0,4.0,1.0,22,glass_breaking:22,False,False,22,False,0,experiments/raw/RUN-20260816-220047.txt
32,FE4-032,RUN-20260816-220103,other,Crack,FE2C-003,FSD50K,eval,173329,False,False,30,24,12,True,0,glass_breaking,False,0,0.3602,,,17,glass_breaking:17,True,True,17,True,0,experiments/raw/RUN-20260816-220103.txt
33,FE4-033,RUN-20260816-220118,siren,siren,FE2S2-001,UrbanSound8K,fold_1,157867,True,True,31,25,23,True,18,siren,True,23,0.9732,4.5,1.5,18,siren:18,False,False,18,False,0,experiments/raw/RUN-20260816-220118.txt
34,FE4-034,RUN-20260816-220134,speech,speech,FE2C-053,FSD50K,eval,31489,True,True,31,25,22,True,12,speech,True,14,0.7892,5.0,2.0,0,,False,False,1,True,1,experiments/raw/RUN-20260816-220134.txt
35,FE4-035,RUN-20260816-220149,dog_bark,dog_bark,FE2C-088,FSD50K,eval,380440,True,True,31,25,8,True,12,dog_bark,True,8,0.8219,4.0,1.0,12,dog_bark:12,False,False,12,False,0,experiments/raw/RUN-20260816-220149.txt
36,FE4-036,RUN-20260816-220204,gunshot_gunfire,gunshot_gunfire,FE2C-029,FSD50K,eval,415508,True,True,30,24,23,True,15,gunshot_gunfire,True,22,0.9538,4.138,1.138,15,gunshot_gunfire:15,False,False,15,False,0,experiments/raw/RUN-20260816-220204.txt
37,FE4-037,RUN-20260816-220220,other,Knock,FE2C-075,FSD50K,eval,135428,True,True,31,25,11,True,4,other,True,9,0.563,5.5,2.5,2,glass_breaking:2,True,True,2,True,0,experiments/raw/RUN-20260816-220220.txt
