"trial_order","trial_id","expected_class","stimulus_file","representativeness","audibility","note"
"1","PILOT-001","speech","speech__fsd50k__val__speech__149825__0000.wav","ambiguous_wrong","loud_distorted","Its a straight up REALLY loud scream"
"5","PILOT-005","gunshot_gunfire","gunshot_gunfire__fsd50k__dev__160590__0015__r0.wav","ambiguous_wrong","quiet","Not that quiet, but sounds more like a thump then gunshot, + its too short"
"7","PILOT-007","glass_breaking","glass_breaking__fsd50k__dev__156031__0022__r0.wav","ambiguous_wrong","loud_distorted","Its a glass breaking then a MAJOR BOOM sound behind it"
"8","PILOT-008","speech","speech__fsd50k__val__speech__132738__0023.wav","ambiguous_wrong","normal","Its a beastly growl not speech"
"9","PILOT-009","glass_breaking","glass_breaking__esc50__fold_4__212698__0007__r0.wav","atypical_valid","normal","Loud thump behind the breaking here as well"
"14","PILOT-014","gunshot_gunfire","gunshot_gunfire__fsd50k__dev__221640__0032__r0.wav","canonical","normal","A bit too short maybe, but quite good"
"19","PILOT-019","speech","speech__fsd50k__val__speech__174955__0015.wav","canonical","loud_distorted","weird speech but valid"
"20","PILOT-020","glass_breaking","glass_breaking__fsd50k__dev__178178__0027__r0.wav","ambiguous_wrong","normal","Not glass breaking, just like a toast of a wine glass"
"21","PILOT-021","gunshot_gunfire","gunshot_gunfire__fsd50k__dev__150139__0011__r0.wav","canonical","normal","great"
"26","PILOT-026","gunshot_gunfire","gunshot_gunfire__fsd50k__dev__187534__0023__r0.wav","atypical_valid","normal","multiple gunshots, still good"
"27","PILOT-027","speech","speech__fsd50k__val__speech__239902__0005.wav","ambiguous_wrong","loud_distorted","straight up screaming"
"28","PILOT-028","glass_breaking","glass_breaking__fsd50k__dev__162169__0025__r0.wav","canonical","normal","still a thump sound behind it but good"
"30","PILOT-030","glass_breaking","glass_breaking__fsd50k__dev__212698__0034__r0.wav","canonical","quiet","A bit too quiet, otherwise great"
"32","PILOT-032","gunshot_gunfire","gunshot_gunfire__fsd50k__dev__257963__0035__r0.wav","canonical","normal","great"
"35","PILOT-035","speech","speech__fsd50k__val__speech__63276__0002.wav","ambiguous_wrong","normal","alvin and chipmunks type of speech, weird"
