"review_order","candidate_id","stimulus_sha256","validity","completeness","audibility","artifact","note"
"1","FE2S-001","42260f1dfebef4baaa212a06847786b9d18d9293275b69c97a5e503309f18fd5","wrong_or_absent","complete","normal","none",""
"2","FE2S-002","55510638cb066f0bc6fc0bc114e806e36ff2dae4ea739f607d006cb1d1fa151d","canonical","complete","normal","none",""
"3","FE2S-003","c7e4a8caa4b1055d46101646354235ab007bf2c150820473dc42a2384be5f7ba","wrong_or_absent","complete","quiet","none",""
"4","FE2S-004","89b73593f2fd969160583cf1485e7718ec37e8c6b158ad5e9ece1b99a27c6824","wrong_or_absent","complete","normal","none",""
"5","FE2S-005","28334cac30ed13d1f0719fb7d71e4fe8f0a0c5e4f2d3139da2ddcccc279e0268","wrong_or_absent","complete","normal","high_pitched_tone",""
"6","FE2S-006","6b14816be149a4484f80e94a87967555607fa0e4357ffb0cc83aa57f5fe13ff0","canonical","complete","normal","none",""
"7","FE2S-007","5b964af91d074bc80a0f80afcdadf5ed3b312cc92297361466c419e79cf9f111","wrong_or_absent","complete","normal","none",""
"8","FE2S-008","4dab601458742de44215465129921fc16d4db87d81d48244fa01420ceaff0ef5","canonical","complete","normal","none",""
"9","FE2S-009","31652b0311061ab9652264a784df2e3f772c14277b044cf05c057ea327be503b","canonical","complete","normal","none",""
"10","FE2S-010","de22c8d01ec2dab3cc1bdf999a035b2a4d9c963114a17d5f3058cdb897d01a7a","canonical","complete","normal","none",""
"11","FE2S-011","5cd05934b89cd0f4bd5f32251b506d2fec7e8019527778ce9f3bae3eaee8b2d3","canonical","complete","normal","none",""
"12","FE2S-012","fb6d7bc3380d4d3a83cb23a36000e15464a047e0c82fc22eac09e910a8719155","wrong_or_absent","complete","normal","high_pitched_tone",""
"13","FE2S-013","590170ceb2454405a19950356b5f49b609954d858b9a355143b047991281c64b","canonical","complete","normal","static_or_noise",""
"14","FE2S-014","4b100eb0b28462f6aea99e3100059c00737c96892156d500ef73e68ad430841a","canonical","complete","normal","none",""
"15","FE2S-015","966e1f6a731e59d7fc4e3267da9c1105c218d2571c711a2d61dbda681b8df52b","wrong_or_absent","complete","normal","high_pitched_tone",""
"16","FE2S-016","ca1f8950ff34d950dfe6e228725b150a3e5162713b83adf0c8c52931e5ba4f92","wrong_or_absent","complete","normal","none",""
"17","FE2S-017","e96a50bbf7c21ebee864db5851319922415a3dc9672020c2c6e3f95e0c58f980","wrong_or_absent","complete","normal","none",""
"18","FE2S-018","d93cd1254eede4011afc4cc4846b42bccaf08390b66089167e7cefaf29135d07","canonical","complete","normal","none",""
"19","FE2S-019","7a3ca325431ad2f6accee37540a7e7e6f52386f8b24f9dd1e35451f40d299635","wrong_or_absent","complete","normal","none",""
"20","FE2S-020","48934bfcfcd244e1f6fbe37d460127a7c6bf0912b30d1ccd56d193874ec0a28f","canonical","complete","normal","none",""
