trial_order,trial_id,evaluation_id,attempt_id,expected_class,true_category,test_type,review_candidate_id,review_candidate_set_id,review_validity,review_completeness,review_audibility,review_artifact,source_dataset,source_partition,source_id,source_group,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,review_stimulus_sha256,stimulus_file,stimulus_path,sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,target_output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_name,model_output_classes,system_classes,model_onnx_sha256,weights_sha256,application_binary_sha256,status
1,FE4-001,STM32N6-HAZARD6-FINAL-003,FE4-A01,gunshot_gunfire,gunshot_gunfire,positive,FE2C-099,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,52357,52357,"Gunshot_and_gunfire,Explosion",gun shot.aif,trip2000,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,52357.wav,882b22646394ce019eea8c4b890c42ad2cd76bd81120cb25b88bc2de4afd1237,9d03e3c15fa3b15c864eb53f648ca378eb04422613d01b720fc8519bc6b9515a,FE4-001.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-001.wav,9d03e3c15fa3b15c864eb53f648ca378eb04422613d01b720fc8519bc6b9515a,10.25,-37.99,-54.438,-42.0003,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
2,FE4-002,STM32N6-HAZARD6-FINAL-003,FE4-A01,dog_bark,dog_bark,positive,FE2C-048,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,396220,396220,"Bark,Dog,Domestic_animals_and_pets,Animal",Dog_Barking,XeonsStargazer,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,396220.wav,10dc899bccf0288b8556e280e3cd261d830805ff82fac0c1e6e9f4c922041b1f,01d95ebdcf8d6adcdd4569da011b15f85eda193f725d348ad70ff4cef3ac412c,FE4-002.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-002.wav,01d95ebdcf8d6adcdd4569da011b15f85eda193f725d348ad70ff4cef3ac412c,10.5,-31.4589,-53.3652,-41.9991,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
3,FE4-003,STM32N6-HAZARD6-FINAL-003,FE4-A01,speech,speech,positive,FE2C-023,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,196382,196382,"Female_speech_and_woman_speaking,Crackle,Speech,Human_voice",vinyleffect,Jaturo,http://creativecommons.org/publicdomain/zero/1.0/,review_Female_speech_and_woman_speaking,196382.wav,d4e4ba58e0f982260b0ba25f1f6e9b88d779e87924416aa27d5f9f8305ef8754,559e9f4bfbed2774850ca75d6401790d3106d1cc9fc7163ca26e67677bb47ab2,FE4-003.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-003.wav,559e9f4bfbed2774850ca75d6401790d3106d1cc9fc7163ca26e67677bb47ab2,10.5,-33.5572,-44.8438,-42.0012,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
4,FE4-004,STM32N6-HAZARD6-FINAL-003,FE4-A01,other,Fireworks,positive,FE2C-037,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,161678,161678,"Fireworks,Explosion",sw_Fireworks_Distant_02.wav,jppi_Stu,http://creativecommons.org/licenses/by/3.0/,review_other_Fireworks,161678.wav,349cc844e7e1bd455ab8f655956093af5194150316a40e82c0480fe72fb4c48a,b9d2aa39dbf705539e01a3f8330183ccb317d11e2f5d7a68160ee670fea1568f,FE4-004.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-004.wav,b9d2aa39dbf705539e01a3f8330183ccb317d11e2f5d7a68160ee670fea1568f,10.25,-30.4933,-48.4581,-41.9999,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
5,FE4-005,STM32N6-HAZARD6-FINAL-003,FE4-A01,siren,siren,positive,FE2C-091,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,58014,58014,"Motor_vehicle_(road),Siren,Vehicle,Alarm",wail.wav,guitarguy1985,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,58014.wav,d25b52a95c11f2457cf41cefa57ea512b134d3ef1cdd38128f3530fc361773d9,a243e373cdd94ed9de3b01908f1457f247e77ff8a2461eeb630c547626065f30,FE4-005.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-005.wav,a243e373cdd94ed9de3b01908f1457f247e77ff8a2461eeb630c547626065f30,10.5,-38.7592,-43.0456,-42.0004,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
6,FE4-006,STM32N6-HAZARD6-FINAL-003,FE4-A01,glass_breaking,glass_breaking,positive,FE2C-042,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,33629,33629,"Shatter,Glass",bulb_smash.mp3,themfish,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,33629.wav,ace9d482d77558dddc9b0e4db1afa27751db070c4f82b07b53260da13eb33d05,4b1d8142c9e5fcf78ab37c5e4e1fc520c1a0167237705e8a9db7a198d3a185d2,FE4-006.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-006.wav,4b1d8142c9e5fcf78ab37c5e4e1fc520c1a0167237705e8a9db7a198d3a185d2,10.25,-34.6024,-53.7363,-42.0003,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
7,FE4-007,STM32N6-HAZARD6-FINAL-003,FE4-A01,dog_bark,dog_bark,positive,FE2C-072,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,344955,344955,"Bark,Dog,Domestic_animals_and_pets,Animal",Dogs Barking,darranambler,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,344955.wav,cd08ea19477a69a3a88276cf4b2130b3e7f39a47570c5fe02713e764975435bc,3dd1d1b70d126d87fc88090dc82a8c9cb110fe9660203e5f6fa564112decb128,FE4-007.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-007.wav,3dd1d1b70d126d87fc88090dc82a8c9cb110fe9660203e5f6fa564112decb128,10.5,-31.8961,-53.3517,-42.0,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
8,FE4-008,STM32N6-HAZARD6-FINAL-003,FE4-A01,glass_breaking,glass_breaking,positive,FE2S-006,FE2-SUPPLEMENT-001,canonical,complete,normal,none,FSD50K,eval,231297,231297,"Shatter,Chink_and_clink,Glass",Glass Smash 3.wav,Puniho,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_shatter_metadata,231297.wav,2e989c047a45d25da21f1b9d83baf9a6c103a398ea4a165f86e3566fc0bce12e,6b14816be149a4484f80e94a87967555607fa0e4357ffb0cc83aa57f5fe13ff0,FE4-008.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-008.wav,6b14816be149a4484f80e94a87967555607fa0e4357ffb0cc83aa57f5fe13ff0,10.25,-24.8629,-54.3758,-42.0,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
9,FE4-009,STM32N6-HAZARD6-FINAL-003,FE4-A01,siren,siren,positive,FE2C-049,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,392881,392881,"Crackle,Motor_vehicle_(road),Alarm,Siren,Car,Vehicle",sirena.mp3,sebbas414,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,392881.wav,bbc28f86c6aaca2396c00a5f01c8ba17258bc7c6d58068afc95e4540d75481b4,b1ffb588a28b5904f5cb07ec345ed717bba2d0be693e32c0ade2aeb0f6878065,FE4-009.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-009.wav,b1ffb588a28b5904f5cb07ec345ed717bba2d0be693e32c0ade2aeb0f6878065,10.5,-33.5069,-46.3184,-41.9998,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
10,FE4-010,STM32N6-HAZARD6-FINAL-003,FE4-A01,speech,speech,positive,FE2C-032,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,153108,153108,"Male_speech_and_man_speaking,Conversation,Speech,Human_voice",People_Talking.wav,Albaaa3,http://creativecommons.org/publicdomain/zero/1.0/,review_Male_speech_and_man_speaking,153108.wav,bb360102ddd610793c724dd6d21d97b2878258761d0019369a2a456fdb759e23,fbcb920bc23b370d979b817e941292b9a3e0dcf519d678229a14bdae22b7a031,FE4-010.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-010.wav,fbcb920bc23b370d979b817e941292b9a3e0dcf519d678229a14bdae22b7a031,10.5,-32.1715,-49.8181,-41.998,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
