"review_order","review_id","expected_class","stimulus_sha256","validity","completeness","audibility","note"
"1","TER-001","glass_breaking","29c5fb98c670ab6e967f5800e9634af65fb4f46bebd7ef8476b69339d2ca9b4b","canonical","complete","normal",""
"2","TER-002","glass_breaking","3ba21f4a64935465fbcb278c172d784ae093222155a881c10531e7557bdcbc9a","canonical","complete","quiet",""
"3","TER-003","glass_breaking","50ac4257ee7ecb9e8bf337122c80f48b4c481778d39b2beb4f08748ee1091e01","canonical","complete","loud_distorted","bit loud"
"4","TER-004","glass_breaking","c2eb1f0dc51b75a11d0600ef5cae903db41df85acfdae41e2af0c65b051573f9","canonical","complete","normal",""
"5","TER-005","glass_breaking","5a7097197afdfda4156da7edb622a4211f014d63af204133aa4bd594551cb9c5","canonical","complete","loud_distorted","bit loud"
"6","TER-006","glass_breaking","59d3d03958673e0edd5d8ed62c996509a498d4172274c9ef01fddc1f7a740326","canonical","truncated","normal","a bit cut, but the whole sound is the breaking"
"7","TER-007","glass_breaking","0d6a2ec8d497bc28bc0e808d32f38c46e18464dff2d077037e41f59644f767d0","canonical","complete","quiet",""
"8","TER-008","glass_breaking","6fc009d06503167121e66fb1d77877090520f0884c4303f9f6e9e953ccca28d9","canonical","complete","normal",""
"9","TER-009","glass_breaking","520e7fe1eac44d92b33895eb9585fefb6908baedad2079e427f97b1d27a64147","wrong_or_absent","unsure","quiet","nothing here"
"10","TER-010","glass_breaking","55697dbf2a6c124d617b94c0f0c3f97a5a2b2822b5bfb4a67eb5812741c62ead","atypical_valid","truncated","loud_distorted","weird"
"11","TER-011","glass_breaking","b1579d1a29152700dfdcb858295d72340dfaa99867f6d7c42bbe7c100b7ea1f8","canonical","complete","normal","a bit muffled but ok"
"12","TER-012","glass_breaking","ce3651c82d8a4b4defe65f5d4692221319b15431fc9626848dc4d416b0dccf3c","canonical","complete","normal",""
"13","TER-013","glass_breaking","8a71cbe267bd064edd002aadffdcadc4bd5b980588c3b0f3cd103a34939b9b6e","canonical","complete","normal",""
"14","TER-014","glass_breaking","428e57ab3bb77625e99a37bec1396c5f5fe29920f0f5de4642d5e0bab5b88db0","canonical","complete","normal",""
"15","TER-015","glass_breaking","62c832afa8393d6e344068e6b39d1387e0c5c5e96061d17f38e425d24253ccc0","canonical","complete","normal",""
