review_phase,review_id,expected_class,true_category,representativeness,audibility,variant,eligible_for_targeted_pilot2,note
initial,P2R-001,dog_bark,dog_bark,canonical,normal,not_recorded,True,"Amazing, well recognized too"
initial,P2R-002,glass_breaking,glass_breaking,canonical,loud_distorted,clean_shatter,True,Quite good
initial,P2R-003,gunshot_gunfire,gunshot_gunfire,canonical,normal,multiple_shots,True,"2 shots, quite good but a bit too quiet"
initial,P2R-004,glass_breaking,glass_breaking,canonical,normal,clean_shatter,True,great
initial,P2R-005,thunderstorm,thunderstorm,atypical_valid,normal,not_recorded,False,It recognized thunderstorm then transitioned to emergency siren for some reason towards the end
initial,P2R-006,thunderstorm,thunderstorm,canonical,normal,not_recorded,True,great
initial,P2R-007,dog_bark,dog_bark,atypical_valid,normal,not_recorded,False,"A little blurred and quiet, kinda similar to human voice"
initial,P2R-008,speech,speech,atypical_valid,loud_distorted,normal_conversation,False,"Blurred and weird, a bit loud"
initial,P2R-009,siren,siren,canonical,loud_distorted,not_recorded,True,"Short beeps at start, great finish"
initial,P2R-010,glass_breaking,glass_breaking,atypical_valid,normal,shatter_plus_impact,False,"short break, thump at end distracting"
initial,P2R-011,out_of_distribution,door_wood_knock,ambiguous_wrong,loud_distorted,not_recorded,False,too loud
initial,P2R-012,speech,speech,ambiguous_wrong,loud_distorted,normal_conversation,False,WAY too loud and blurry
initial,P2R-013,dog_bark,dog_bark,canonical,normal,not_recorded,True,A little quiet
initial,P2R-015,speech,speech,ambiguous_wrong,normal,not_speech,False,just aaaaaaaaaaaaaaaaa
initial,P2R-016,siren,siren,canonical,normal,not_recorded,True,short but good
initial,P2R-017,speech,speech,canonical,loud_distorted,normal_conversation,True,too loud
initial,P2R-018,gunshot_gunfire,gunshot_gunfire,canonical,normal,single_shot,True,great
initial,P2R-019,out_of_distribution,clock_tick,atypical_valid,loud_distorted,not_recorded,False,"too loud, not clock ticking at all"
initial,P2R-020,speech,speech,canonical,loud_distorted,normal_conversation,True,too loud but ok
initial,P2R-021,glass_breaking,glass_breaking,atypical_valid,normal,handling_or_clink,False,not actually breaking but handling similar to breaking
initial,P2R-022,siren,siren,canonical,normal,not_recorded,True,ok
initial,P2R-023,dog_bark,dog_bark,canonical,normal,not_recorded,True,good
initial,P2R-024,thunderstorm,thunderstorm,canonical,normal,not_recorded,True,great
initial,P2R-025,thunderstorm,thunderstorm,atypical_valid,normal,not_recorded,False,Has high pitched background which makes it think its a siren
initial,P2R-026,speech,speech,canonical,loud_distorted,normal_conversation,True,too loud but fine
initial,P2R-027,out_of_distribution,rain,ambiguous_wrong,loud_distorted,not_recorded,False,"too loud ,has thunderstorm"
initial,P2R-028,gunshot_gunfire,gunshot_gunfire,ambiguous_wrong,normal,impact_or_unclear,False,weird impact sound and blurry
initial,P2R-029,out_of_distribution,rain,canonical,loud_distorted,not_recorded,True,too loud with high pitched background
initial,P2R-030,dog_bark,dog_bark,canonical,normal,not_recorded,True,quite good
initial,P2R-031,glass_breaking,glass_breaking,ambiguous_wrong,normal,handling_or_clink,False,not correct
initial,P2R-032,thunderstorm,thunderstorm,atypical_valid,loud_distorted,not_recorded,False,has high pitched background which makes it seem like a siren
initial,P2R-033,out_of_distribution,crying_baby,canonical,normal,not_recorded,True,a bit loud but fine
initial,P2R-034,dog_bark,dog_bark,canonical,normal,not_recorded,True,great
initial,P2R-035,out_of_distribution,clapping,ambiguous_wrong,normal,not_recorded,False,"has weird noises, no clapping"
initial,P2R-036,glass_breaking,glass_breaking,canonical,normal,handling_or_clink,False,not bad
initial,P2R-037,thunderstorm,thunderstorm,canonical,normal,not_recorded,True,"not bad,  but wasnt recognized well"
