"candidate_order","review_id","expected_class","true_category","stimulus_sha256","representativeness","audibility","variant","note"
"1","P2R-001","dog_bark","dog_bark","6e2fe81134dcabfdeb2cd560f48aa20c861243a4e219830e08303840dbc3fa7b","canonical","normal","not_recorded","Amazing, well recognized too"
"2","P2R-002","glass_breaking","glass_breaking","e5af2a20bdaea498de4890e132f2c4dd27aaa8448f8e41f296b0f8b06df4e2fe","canonical","loud_distorted","clean_shatter","Quite good"
"3","P2R-003","gunshot_gunfire","gunshot_gunfire","aef34fa61a553320658ae477b3c8f3b2b0f39a12dcd943820778d9085c29d60a","canonical","normal","multiple_shots","2 shots, quite good but a bit too quiet"
"4","P2R-004","glass_breaking","glass_breaking","6f4d60217241c39931e00399daa76d645de9b06f2c39fcf8e72c3e7600abfa68","canonical","normal","clean_shatter","great"
"5","P2R-005","thunderstorm","thunderstorm","2dce5baf90e283758c74824da6900145d23f4804a6b3afbf599d602325bfc487","atypical_valid","normal","not_recorded","It recognized thunderstorm then transitioned to emergency siren for some reason towards the end"
"6","P2R-006","thunderstorm","thunderstorm","d9994b745a9cee89e2d78be96c064df050af8d29aba9f315430dfd42a20d56ce","canonical","normal","not_recorded","great"
"7","P2R-007","dog_bark","dog_bark","b2417f18d822bbbea0c159ab5a85fb23aa577a0bd2954454df0cb7d438a5e2cd","atypical_valid","normal","not_recorded","A little blurred and quiet, kinda similar to human voice"
"8","P2R-008","speech","speech","765a2e4ee738fc7293db0263d2ab4eda6635476cfc7097fa624654e52d12b459","atypical_valid","loud_distorted","normal_conversation","Blurred and weird, a bit loud"
"9","P2R-009","siren","siren","cae6fd9436b691b86d3a0db42e64b57d7d1230a5b4aed3aeb04c01fe6e9f034c","canonical","loud_distorted","not_recorded","Short beeps at start, great finish"
"10","P2R-010","glass_breaking","glass_breaking","bd861f1246ad7402af3693bb94ff95ba113a90564ed06d5702df84c34134baaa","atypical_valid","normal","shatter_plus_impact","short break, thump at end distracting"
"11","P2R-011","out_of_distribution","door_wood_knock","4160f037175c9a3292688701816b6818c56a7a5b0f97e0f2d1d6bba4d0d44702","ambiguous_wrong","loud_distorted","not_recorded","too loud"
"12","P2R-012","speech","speech","b58ea68c551944ad2e2fa13faf084e0c74dd212fc9552f656b0f1ef953973d09","ambiguous_wrong","loud_distorted","normal_conversation","WAY too loud and blurry"
"13","P2R-013","dog_bark","dog_bark","1cb1309637529815698b9da530d55c931b5013f23d170ef7bdc6db18a830e5c3","canonical","normal","not_recorded","A little quiet"
"15","P2R-015","speech","speech","87c11c57a0b508f2c1efd2af148ada3c4d0cfa3bbc0e8e05a30b5dc18bac0ddd","ambiguous_wrong","normal","not_speech","just aaaaaaaaaaaaaaaaa"
"16","P2R-016","siren","siren","2cb317e0a9edf0aee1cb75d07e178f90d8bfda19726d2aeb483e2fe38f7ce778","canonical","normal","not_recorded","short but good"
"17","P2R-017","speech","speech","c042513b9d1a81fa8077c40e30a51e4d6d23203e4275971056d4a0cf47b8ee75","canonical","loud_distorted","normal_conversation","too loud"
"18","P2R-018","gunshot_gunfire","gunshot_gunfire","354bf1a72fe85db397501fd479a58215db645fbed52254fc9d20e01ea7bcf60f","canonical","normal","single_shot","great"
"19","P2R-019","out_of_distribution","clock_tick","be3a814b2ff3c962901c22fae8be3665a9c1e8a495edc7bad20066573498ff7c","atypical_valid","loud_distorted","not_recorded","too loud, not clock ticking at all"
"20","P2R-020","speech","speech","7e564d0a5d419a312882d3e2444962be95f8d3a81c104b07f9320d43d642afd9","canonical","loud_distorted","normal_conversation","too loud but ok"
"21","P2R-021","glass_breaking","glass_breaking","effc298c5d2a6d49258261a0c2e07a613918d83b36dc0eb067a4764fb889d6d2","atypical_valid","normal","handling_or_clink","not actually breaking but handling similar to breaking"
"22","P2R-022","siren","siren","3cb963e1447bee31ea80cb169cf82b475e4d2c4caa959636d91c4a371f763e4d","canonical","normal","not_recorded","ok"
"23","P2R-023","dog_bark","dog_bark","f250921c6c0e8394618c482c498000a96c8ed18354ba9901cad6b72b62aa7516","canonical","normal","not_recorded","good"
"24","P2R-024","thunderstorm","thunderstorm","5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6","canonical","normal","not_recorded","great"
"25","P2R-025","thunderstorm","thunderstorm","c8b0f338173d565e841cdf7efdd7c27098a32fec3399fd495d8d2b86d89552e5","atypical_valid","normal","not_recorded","Has high pitched background which makes it think its a siren"
"26","P2R-026","speech","speech","ec46d15d87911c803f154147e294e0414c71549c98d955070fefafe5d02190de","canonical","loud_distorted","normal_conversation","too loud but fine"
"27","P2R-027","out_of_distribution","rain","56ca25c395ecc1a33b0a0a0a107f9246c3e45174994a6c08ecb0576404b3ab6d","ambiguous_wrong","loud_distorted","not_recorded","too loud ,has thunderstorm"
"28","P2R-028","gunshot_gunfire","gunshot_gunfire","73c66ae36e5c035fcd04b865ecd5e4bfd903c66af0dff17d1f12d8889719ae7c","ambiguous_wrong","normal","impact_or_unclear","weird impact sound and blurry"
"29","P2R-029","out_of_distribution","rain","bd911e572b9193b058ba6f524a25d83e730b4a5e18f38d33a03df45e24418abb","canonical","loud_distorted","not_recorded","too loud with high pitched background"
"30","P2R-030","dog_bark","dog_bark","640c47811aa1c52f0e9feb5bffe84e041f428be3fe6723de7d4ea0ef4008848d","canonical","normal","not_recorded","quite good"
"31","P2R-031","glass_breaking","glass_breaking","4dada4340dd060dcf32ba0e3cdaa8ec4fb068d4b360c4f5848369b90a8ecc5ac","ambiguous_wrong","normal","handling_or_clink","not correct"
"32","P2R-032","thunderstorm","thunderstorm","27075a5efbc14d0fbf9cef0f9444b82bbafbc2a9ebd4be2ba767f5136713493d","atypical_valid","loud_distorted","not_recorded","has high pitched background which makes it seem like a siren"
"33","P2R-033","out_of_distribution","crying_baby","06fc290156d561b2693c9e69eae065afa11afb4c4f859ad06aa4c1b67f7ecf59","canonical","normal","not_recorded","a bit loud but fine"
"34","P2R-034","dog_bark","dog_bark","f4fb1afaeac6e5a80eaea116d79925775a90d31b1c968098e285efddf28010ab","canonical","normal","not_recorded","great"
"35","P2R-035","out_of_distribution","clapping","fcfe5a8ff43ffcaffdfc4af27f040f465353ad208b6a9ced8d71854cc9c19c36","ambiguous_wrong","normal","not_recorded","has weird noises, no clapping"
"36","P2R-036","glass_breaking","glass_breaking","b903a8463cfcc17593cb78c0bf341e3393a2861641ce6d84b2b22f6457615ad1","canonical","normal","handling_or_clink","not bad"
"37","P2R-037","thunderstorm","thunderstorm","332b4657769e8f57a82a5090ad3a48a06fff4c33fd9a8a4d7aa2062b9416133d","canonical","normal","not_recorded","not bad,  but wasnt recognized well"
"38","P2R-038","glass_breaking","glass_breaking","4d126b43542f42068986c79bfbb6f47e952016e948b345ba7c0a751c9d1b7dfb","canonical","normal","clean_shatter","not bad"
"39","P2R-039","thunderstorm","thunderstorm","6d8fe5bafdd835298e9cf2207f867ec4bba65534ef69d628766db1385ff80d1f","canonical","normal","not_recorded","high pitched background"
"40","P2R-040","siren","siren","e28506e2a4d63895c831ad05c7efd4c13fb922c5fc0fb308929adf6607d7fa11","canonical","normal","not_recorded","a bit loud but nice"
"41","P2R-041","dog_bark","dog_bark","e1847bf4adc2815b12a3a8e95d8a55d7bcaf9389858832acdda37f070ec21c25","ambiguous_wrong","loud_distorted","not_recorded","really loud background, some dog barking barely heard"
"42","P2R-042","speech","speech","a702b596ee7450994981dc9a10a97ae8ff3f62629ae3f399cf80de22575a8e77","ambiguous_wrong","loud_distorted","not_speech","too short and odd"
"43","P2R-043","out_of_distribution","crying_baby","841a35b78a19c6707113a9fa658880a1abee5e9ff23f049b458211fa357d4789","atypical_valid","loud_distorted","not_recorded","too loud"
"44","P2R-044","gunshot_gunfire","gunshot_gunfire","a034cbd3aecf7adbd84b1a41d27f60176b3e019b99e68dfb4689492ac26cca00","canonical","normal","single_shot","a bit blurred but ok"
"45","P2R-045","glass_breaking","glass_breaking","31888db3a417f6811d0133aca21517082eccd6af5e593a933bb0c617e65157be","ambiguous_wrong","loud_distorted","shatter_plus_impact","weird"
"46","P2R-046","siren","siren","8a32615b0d636089a11ccc7f3ba336a854d0402c71288650ed55c04c0dbb4743","canonical","loud_distorted","not_recorded","loud but ok"
"47","P2R-047","gunshot_gunfire","gunshot_gunfire","fbbb233e58bf2a3a38fa8ad856a7ea67c4d089fd861aa9934ed309b81cded5fb","ambiguous_wrong","quiet","impact_or_unclear","short "
"48","P2R-048","gunshot_gunfire","gunshot_gunfire","ad36d0f0523af639336d77d4273e334df64782e6dc9fe7c774b09a7e702c38dd","ambiguous_wrong","loud_distorted","impact_or_unclear","not a gunshot"
"49","P2R-049","out_of_distribution","door_wood_knock","070463d540d9951bfdc683c5f8e5ca239f22c21178ff33b62475b7f94fb89b47","atypical_valid","loud_distorted","not_recorded","very loud"
"50","P2R-050","siren","siren","76f2c1036fc2cff8cce9e284a9dfd1d128ac02a4d419d42060c240c81c34ea94","canonical","loud_distorted","not_recorded","very loud and has human speech in background"
"51","P2R-051","siren","siren","aa36c8c06e30fc42090fd517ce1a878f69e26d34521a0ad93b6f2d0d857eac87","atypical_valid","normal","not_recorded","a bit odd"
"52","P2R-052","gunshot_gunfire","gunshot_gunfire","179623a197e0802428ee3171db234a8c0d1de8763a1af49da211789c411dabd7","canonical","normal","multiple_shots","not bad"
"53","P2R-053","thunderstorm","thunderstorm","e0b83b818222f09451c322350676ce926800a5d0c6aea95a0bd482cbeb6b240e","canonical","normal","not_recorded","has high pitched background"
"55","P2R-055","gunshot_gunfire","gunshot_gunfire","45956b3e1e5dd9a325fd16708e828890c655e98ba6e340ec1a66eb26b880fba6","atypical_valid","loud_distorted","multiple_shots","weird"
