attempt_id,trial_order,trial_id,run_id,expected_class,true_category,test_type,group,review_id,variant,loudness_stratum,derived_gain_db,stimulus_sha256,frames_observed,active_frames,activity_coverage,evaluable,passed,confirmed_expected_frames,confirmed_hazard_frames,confirmed_outputs,expected_rank1_seen,expected_rank1_frames,peak_expected_probability,peak_expected_rank1_probability,peak_top1_class,peak_top1_probability
P2-A02,1,P2-001,RUN-20260807-185802,thunderstorm,thunderstorm,positive,thunderstorm,P2R-024,not_recorded,reviewed_nominal,0.0,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,26,10,True,True,True,7,7,thunderstorm,True,9,0.8868,0.8868,thunderstorm,0.8868
P2-A02,2,P2-002,RUN-20260807-185827,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db_reduced_6db,P2R-052,multiple_shots,gunshot_boosted_5db_reduced_6db,-1.0,e196432c622e2d5c305c53516789b1c647a4d913e9a488b28cef08fc1d533df6,20,2,True,True,False,0,0,,True,1,0.4965,0.4965,siren,0.5117
P2-A02,3,P2-003,RUN-20260807-185847,glass_breaking,glass_breaking,positive,glass_breaking,P2R-038,clean_shatter,reviewed_nominal,0.0,4d126b43542f42068986c79bfbb6f47e952016e948b345ba7c0a751c9d1b7dfb,20,2,True,True,True,3,3,glass_breaking,True,2,0.9023,0.9023,glass_breaking,0.9023
P2-A02,4,P2-004,RUN-20260807-185907,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db,P2R-052,multiple_shots,gunshot_boosted_5db,5.0,2894976b494ab9777ad0c940cbf2017751167ffc1b98ee3a8761ccf35272c363,21,2,True,True,False,0,0,,True,1,0.4062,0.4062,siren,0.4258
P2-A02,5,P2-005,RUN-20260807-185928,dog_bark,dog_bark,positive,dog_bark,P2R-013,not_recorded,reviewed_nominal,0.0,1cb1309637529815698b9da530d55c931b5013f23d170ef7bdc6db18a830e5c3,21,4,True,True,False,0,0,speech,True,2,0.5508,0.5508,dog_bark,0.5508
P2-A02,6,P2-006,RUN-20260807-185948,thunderstorm,thunderstorm,positive,thunderstorm,P2R-006,not_recorded,reviewed_nominal,0.0,d9994b745a9cee89e2d78be96c064df050af8d29aba9f315430dfd42a20d56ce,20,5,True,True,False,0,2,siren,True,3,0.6094,0.6094,siren,0.7021
P2-A02,7,P2-007,RUN-20260807-190008,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db_reduced_6db,P2R-003,multiple_shots,gunshot_boosted_5db_reduced_6db,-1.0,27d3e9a39d71c54336000f012cc4abf74fab9b0f35184ded99b0eb7c53a9c882,20,1,True,True,False,0,0,,False,0,0.2891,0.0,dog_bark,0.5117
P2-A02,8,P2-008,RUN-20260807-190028,glass_breaking,glass_breaking,positive,glass_breaking,P2S-019,clean_shatter,reviewed_nominal,0.0,26cd59b0b8b849eef7601673b198711a089cfc41ee2c0ed460846fa7b86b714a,21,0,False,True,False,0,0,,False,0,0.0,0.0,inactive,0.0
P2-A02,9,P2-009,RUN-20260807-190048,out_of_distribution,crying_baby,ood,ood_rejection,P2R-033,not_recorded,ood_attenuated_20db,-20.0,dbc751ebc1efdcbf15f624ba5543a8ba88023b94d6eca2129d336fd38443b2c1,21,1,True,True,True,0,0,speech,False,0,0.0,0.0,speech,0.8672
P2-A02,10,P2-010,RUN-20260807-190108,dog_bark,dog_bark,positive,dog_bark,P2R-057,not_recorded,reviewed_nominal,0.0,21bccbcb581cb97f3b2c7e79a106edadfcd48600e9ececc797cf2f4812b1d36a,36,13,True,True,True,19,19,dog_bark,True,13,0.9369,0.9369,dog_bark,0.9369
P2-A02,11,P2-011,RUN-20260807-190143,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db_reduced_6db,P2R-018,single_shot,gunshot_boosted_5db_reduced_6db,-1.0,230914acbdaccf4a960f0c76c83832a284b65129d997d465d704c164d23999db,21,0,False,True,False,0,0,,False,0,0.0,0.0,inactive,0.0
P2-A02,12,P2-012,RUN-20260807-190204,dog_bark,dog_bark,positive,dog_bark,P2R-023,not_recorded,reviewed_nominal,0.0,f250921c6c0e8394618c482c498000a96c8ed18354ba9901cad6b72b62aa7516,20,6,True,True,True,3,3,dog_bark|speech,True,6,0.7655,0.7655,dog_bark,0.7655
P2-A02,13,P2-013,RUN-20260807-190224,out_of_distribution,clock_tick,ood,ood_rejection,P2S-013,not_recorded,ood_attenuated_20db,-20.0,957c6dbbf90bc5e68668c8117da15db621b3f67ab30f9ad809600c8c8c6a3b26,20,0,False,False,,0,0,,False,0,0.0,0.0,inactive,0.0
P2-A02,14,P2-014,RUN-20260807-190244,glass_breaking,glass_breaking,positive,glass_breaking,P2S-018,shatter_plus_impact,reviewed_nominal,0.0,2250ebfafcb52f01dc59c3e11c9a11f42814d57ce94e8f36573e2b0b533e33c8,25,9,True,True,True,10,10,glass_breaking,True,9,0.9023,0.9023,glass_breaking,0.9023
P2-A02,15,P2-015,RUN-20260807-190308,out_of_distribution,rain,ood,ood_rejection,P2A-001,not_recorded,ood_attenuated_20db,-20.0,4503a5a657d675dc10eea0baec62c7c60e232f52e2f3e1f4325eb67c8a156073,21,0,False,False,,0,0,,False,0,0.0,0.0,inactive,0.0
P2-A02,16,P2-016,RUN-20260807-190328,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db_reduced_6db,P2R-044,single_shot,gunshot_boosted_5db_reduced_6db,-1.0,5845b7dc91b8e08d4b4784ed210e5c8af3c5c144aeeceac467f5f57829fbd7dc,20,1,True,True,False,0,0,,False,0,0.2539,0.0,siren,0.3984
P2-A02,17,P2-017,RUN-20260807-190348,out_of_distribution,clapping,ood,ood_rejection,P2S-006,not_recorded,ood_attenuated_20db,-20.0,36548910b7767a8af08afa4d157bbef6e5495c220086cf7f3195ee4217f4940a,20,0,False,False,,0,0,,False,0,0.0,0.0,inactive,0.0
P2-A02,18,P2-018,RUN-20260807-190408,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db,P2R-003,multiple_shots,gunshot_boosted_5db,5.0,cd28c87fd40ac764ee4d47a3cfdd850b4841459bedfa2a896fc78581943385fc,21,2,True,True,False,0,0,,False,0,0.2785,0.0,dog_bark,0.4727
P2-A02,19,P2-019,RUN-20260807-190428,dog_bark,dog_bark,positive,dog_bark,P2R-001,not_recorded,reviewed_nominal,0.0,6e2fe81134dcabfdeb2cd560f48aa20c861243a4e219830e08303840dbc3fa7b,29,18,True,True,True,17,17,dog_bark|speech,True,17,0.9127,0.9127,dog_bark,0.9127
P2-A02,20,P2-020,RUN-20260807-190457,glass_breaking,glass_breaking,positive,glass_breaking,P2R-002,clean_shatter,reviewed_loud_attenuated_6db,-6.0,a264edb63a515e0642909825c0ca23048ad45135811a5cd1bc9f10dc94c0fe8d,21,3,True,True,True,2,2,glass_breaking,True,3,0.7082,0.7082,glass_breaking,0.7082
P2-A02,21,P2-021,RUN-20260807-190517,thunderstorm,thunderstorm,positive,thunderstorm,P2S-021,not_recorded,reviewed_nominal,0.0,05334209283bd4362f4a04d977c1a3b3364e031ca2c7f4e308be6ff8b056b06a,20,4,True,True,False,0,0,,True,3,0.6445,0.6445,thunderstorm,0.6445
P2-A02,22,P2-022,RUN-20260807-190537,out_of_distribution,door_wood_knock,ood,ood_rejection,P2S-010,not_recorded,ood_attenuated_20db,-20.0,c9329383c104ac849b59c3b4b128a8833ae3e73fc1173998703ef3f079882cd6,20,0,False,False,,0,0,,False,0,0.0,0.0,inactive,0.0
P2-A02,23,P2-023,RUN-20260807-190557,thunderstorm,thunderstorm,positive,thunderstorm,P2R-037,not_recorded,reviewed_nominal,0.0,332b4657769e8f57a82a5090ad3a48a06fff4c33fd9a8a4d7aa2062b9416133d,34,15,True,True,False,0,13,siren,True,1,0.4062,0.3961,siren,0.8951
P2-A02,24,P2-024,RUN-20260807-190630,glass_breaking,glass_breaking,positive,glass_breaking,P2R-004,clean_shatter,reviewed_nominal,0.0,6f4d60217241c39931e00399daa76d645de9b06f2c39fcf8e72c3e7600abfa68,21,1,True,True,False,0,0,,True,1,0.3789,0.3789,glass_breaking,0.3789
P2-A02,25,P2-025,RUN-20260807-190650,gunshot_gunfire,gunshot_gunfire,positive,gunshot_boosted_5db,P2R-044,single_shot,gunshot_boosted_5db,5.0,475f93dd5d6311fad4eec49e3b36463c2c255d006737d6383e843c50c8ddd232,21,2,True,True,False,0,0,,False,0,0.2773,0.0,siren,0.4375
